Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2011,,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,,
,,Jan. 2011,Feb. 2011,Mar. 2011,Apr. 2011,May 2011,Jun. 2011,Jul. 2011,Aug. 2011,Sep. 2011,Oct. 2011,Nov. 2011,Dec. 2011,TOTAL,,
,NOT ADJUSTED,,,,,,,,,,,,,,,
,"Retail and food services sales, total","3,29,173","3,30,472","3,79,291","3,73,236","3,84,166","3,80,687","3,77,062","3,86,763","3,67,426","3,71,870","3,83,551","4,43,079","45,06,776",,
,Retail sales and food services excl motor vehicle and parts,"2,72,599","2,69,461","3,05,875","3,05,242","3,16,411","3,12,069","3,09,406","3,17,013","3,01,873","3,07,308","3,20,872","3,73,432","37,11,561",,
,Retail sales and food services excl gasoline stations,"2,91,239","2,93,882","3,35,034","3,27,476","3,36,019","3,33,269","3,28,963","3,38,547","3,22,086","3,26,863","3,40,686","4,00,442","39,74,506",,
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"2,34,665","2,32,871","2,61,618","2,59,482","2,68,264","2,64,651","2,61,307","2,68,797","2,56,533","2,62,301","2,78,007","3,30,795","31,79,291",,
,"Retail sales, total","2,93,047","2,93,924","3,38,211","3,32,456","3,42,186","3,39,682","3,34,800","3,45,374","3,27,093","3,30,515","3,44,774","4,01,206","40,23,268",,
,"Retail sales, total (excl. motor vehicle and parts dealers)","2,36,473","2,32,913","2,64,795","2,64,462","2,74,431","2,71,064","2,67,144","2,75,624","2,61,540","2,65,953","2,82,095","3,31,559","32,28,053",,
,GAFO(1),"79,404","82,676","91,218","90,649","92,338","91,180","91,233","96,059","89,424","91,219","1,04,497","1,39,492","11,39,389",,
441,Motor vehicle and parts dealers,"56,574","61,011","73,416","67,994","67,755","68,618","67,656","69,750","65,553","64,562","62,679","69,647","7,95,215",,
"4411,4412",Automobile and other motor vehicle dealers,"51,006","55,131","66,389","61,412","60,998","61,286","60,763","62,221","58,503","57,615","56,004","63,185","7,14,513",,
4411,Automobile dealers,"48,726","52,406","62,350","57,162","56,510","56,680","56,512","58,295","55,258","54,633","53,268","60,183","6,71,983",,
44111,New car dealers,"43,744","46,323","55,960","51,782","51,282","51,285","51,210","52,918","50,288","49,867","48,653","55,476","6,08,788",,
44112,Used car dealers,"4,982","6,083","6,390","5,380","5,228","5,395","5,302","5,377","4,970","4,766","4,615","4,707","63,195",,
4413,"Automotive parts, acc., and tire stores","5,568","5,880","7,027","6,582","6,757","7,332","6,893","7,529","7,050","6,947","6,675","6,462","80,702",,
"442,443","Furniture, home furn, electronics, and appliance stores","13,532","13,969","15,377","13,915","14,381","14,581","14,947","15,795","14,890","14,551","17,761","21,824","1,85,523",,
442,Furniture and home furnishings stores,"6,073","6,311","7,319","6,705","6,886","6,839","7,043","7,470","7,242","6,771","7,715","8,787","85,161",,
4421,Furniture stores,"3,508","3,796","4,221","3,826","3,787","3,718","3,925","4,052","3,973","3,667","4,045","4,214","46,732",,
4422,Home furnishings stores,"2,565","2,515","3,098","2,879","3,099","3,121","3,118","3,418","3,269","3,104","3,670","4,573","38,429",,
44221,Floor covering stores,899,912,"1,150","1,071","1,198","1,230","1,208","1,400","1,326","1,238","1,200","1,192","14,024",,
442299,All other home furnishings stores,"1,585","1,521","1,855","1,735","1,823","1,819","1,838","1,938","1,859","1,782","2,390","3,310","23,455",,
443,Electronics and appliance stores,"7,459","7,658","8,058","7,210","7,495","7,742","7,904","8,325","7,648","7,780","10,046","13,037","1,00,362",,
443141,Household appliance stores,"1,057","1,120","1,192","1,159","1,250","1,290","1,310","1,335","1,358","1,255","1,585","1,611","15,522",,
443142,Electronics stores,"6,402","6,538","6,866","6,051","6,245","6,452","6,594","6,990","6,290","6,525","8,461","11,426","84,840",,
444,Building mat. and garden equip. and supplies dealers,"15,867","15,865","21,777","24,167","27,471","26,772","23,329","23,526","22,310","22,873","22,186","21,029","2,67,172",,
4441,Building mat. and supplies dealers,"14,153","14,086","18,833","20,162","22,604","22,385","20,670","21,000","19,900","19,834","19,274","17,996","2,30,897",,
44412,Paint and wallpaper stores,504,527,677,696,700,844,792,853,783,732,660,564,"8,332",,
44413,Hardware stores,"1,301","1,219","1,474","1,720","2,001","1,887","1,730","1,750","1,599","1,677","1,666","1,691","19,715",,
445,Food and beverage stores,"47,847","44,987","49,091","49,912","50,753","50,351","51,816","50,889","49,263","50,202","50,666","55,225","6,01,002",,
4451,Grocery stores,"43,974","40,939","44,748","45,257","45,980","45,547","46,826","46,111","44,557","45,405","45,729","48,512","5,43,585",,
44511,Supermarkets and other grocery (except convenience) stores,"42,341","39,339","42,945","43,375","43,969","43,557","44,774","44,115","42,710","43,591","43,993","46,741","5,21,450",,
4453,"Beer, wine, and liquor stores","2,765","2,858","3,111","3,221","3,325","3,402","3,584","3,428","3,373","3,372","3,499","4,696","40,634",,
446,Health and personal care stores,"21,950","21,016","23,322","21,963","22,483","22,100","21,589","22,701","21,905","22,253","22,079","24,956","2,68,317",,
44611,Pharmacies and drug stores,"19,126","18,088","20,008","18,912","19,473","19,052","18,516","19,456","18,825","19,285","19,091","21,123","2,30,955",,
447,Gasoline stations,"37,934","36,590","44,257","45,760","48,147","47,418","48,099","48,216","45,340","45,007","42,865","42,637","5,32,270",,
448,Clothing and clothing access. stores,"13,358","15,538","17,821","18,209","18,309","17,355","17,521","18,828","17,575","17,833","20,478","30,334","2,23,159",,
4481,Clothing stores,"9,929","11,124","13,420","13,567","13,354","12,980","13,131","13,601","13,143","13,502","15,493","21,283","1,64,527",,
44811,Men's clothing stores,473,483,582,671,658,642,571,533,625,662,686,"1,051","7,637",,
44812,Women's clothing stores,"2,302","2,701","3,384","3,514","3,441","3,221","3,000","2,968","3,236","3,232","3,554","4,722","39,275",,
44814,Family clothing stores,"5,149","5,859","6,975","7,034","6,932","6,759","7,174","7,608","6,788","7,142","8,508","11,863","87,791",,
44819,Other clothing stores,884,802,973,900,938,978,902,916,851,934,"1,053","1,466","11,597",,
4482,Shoe stores,"1,761","2,165","2,357","2,400","2,300","2,223","2,325","2,995","2,299","2,265","2,476","3,422","28,988",,
44831,Jewelry stores,"1,531","2,109","1,870","2,077","2,485","1,983","1,880","2,065","1,972","1,900","2,327","5,328","27,527",,
451,"Sporting goods, hobby, musical instrument, and book stores","5,845","4,982","5,905","5,752","5,698","5,979","5,743","7,317","6,096","5,336","6,591","10,088","75,332",,
45111,Sporting goods stores,"2,331","2,372","3,153","3,134","3,059","3,383","3,218","3,496","2,905","2,649","3,113","4,822","37,635",,
45112,"Hobby, toy, and game stores",932,986,"1,151","1,142","1,028","1,023","1,042","1,028","1,101","1,197","1,879","2,921","15,430",,
451211,Book stores,"1,901",936,858,777,910,877,840,"2,081","1,295",728,773,"1,358","13,334",,
452,General merchandise stores,"44,248","45,709","49,570","50,363","51,324","50,789","50,554","51,156","48,101","50,727","57,000","73,635","6,23,176",,
4522,Department stores,"11,866","12,811","14,128","14,455","14,438","14,686","13,890","14,684","13,617","14,316","18,113","26,357","1,83,361",,
45221,Department stores,"11,866","12,811","14,128","14,455","14,438","14,686","13,890","14,684","13,617","14,316","18,113","26,357","1,83,361",,
4523,Gen. merchandise stores incl. warehouse clubs & supercenters,"32,382","32,898","35,442","35,908","36,886","36,103","36,664","36,472","34,484","36,411","38,887","47,278","4,39,815",,
452311,Warehouse clubs and supercenters,"28,908","29,020","31,089","31,503","32,419","31,609","32,401","32,246","30,292","32,000","33,901","40,955","3,86,343",,
452319,All other gen. merchandise stores,"3,474","3,878","4,353","4,405","4,467","4,494","4,263","4,226","4,192","4,411","4,986","6,323","53,472",,
453,Miscellaneous store retailers,"6,738","7,250","7,740","7,686","8,450","8,389","8,100","8,570","8,238","8,227","7,941","9,184","96,513",,
4532,"Office supplies, stationery, and gift stores","2,421","2,478","2,545","2,410","2,626","2,476","2,468","2,963","2,762","2,772","2,667","3,611","32,199",,
45321,Office supplies and stationery stores,"1,575","1,463","1,550","1,346","1,343","1,278","1,322","1,878","1,616","1,362","1,425","1,639","17,797",,
45322,"Gift, novelty, and souvenir stores",846,"1,015",995,"1,064","1,283","1,198","1,146","1,085","1,146","1,410","1,242","1,972","14,402",,
45330,Used merchandise stores,827,903,"1,036",934,932,880,886,"1,062",979,"1,041","1,040","1,109","11,629",,
454,Nonstore retailers,"29,154","27,007","29,935","26,735","27,415","27,330","25,446","28,626","27,822","28,944","34,528","42,647","3,55,589",,
4541,Electronic shopping and mail-order houses,"21,884","20,348","23,439","21,595","22,747","22,709","21,282","23,997","23,040","23,679","28,775","36,384","2,89,879",,
