Estimates of Monthly Retail and Food Services Sales by Kind of Business: 2015,,,,,,,,,,,,,,,
"[Estimates are shown in millions of dollars and are based on data from the Monthly Retail Trade Survey, Annual Retail Trade Survey, Service Annual Survey, and administrative records]",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
NAICS  Code,Kind of Business,,,,,,,,,,,,,,
,,Jan. 2015,Feb. 2015,Mar. 2015,Apr. 2015,May 2015,Jun. 2015,Jul. 2015,Aug. 2015,Sep. 2015,Oct. 2015,Nov. 2015,Dec. 2015,TOTAL,
,NOT ADJUSTED,,,,,,,,,,,,,,
,"Retail and food services sales, total","3,91,738","3,81,513","4,38,118","4,31,604","4,56,436","4,41,657","4,51,579","4,49,793","4,24,822","4,38,395","4,37,204","5,06,151","52,49,010",
,Retail sales and food services excl motor vehicle and parts,"3,14,015","3,02,889","3,42,583","3,38,765","3,59,742","3,47,748","3,54,414","3,52,413","3,34,499","3,48,445","3,53,463","4,13,296","41,62,272",
,Retail sales and food services excl gasoline stations,"3,58,677","3,49,308","4,00,608","3,93,765","4,14,302","3,98,904","4,07,712","4,07,869","3,87,246","4,00,380","4,03,240","4,72,586","47,94,597",
,Retail sales and food services excl motor vehicle and parts and gasoline stations,"2,80,954","2,70,684","3,05,073","3,00,926","3,17,608","3,04,995","3,10,547","3,10,489","2,96,923","3,10,430","3,19,499","3,79,731","37,07,859",
,"Retail sales, total","3,44,632","3,35,752","3,85,954","3,80,319","4,02,126","3,90,651","3,99,519","3,97,745","3,75,199","3,85,581","3,88,071","4,52,764","46,38,313",
,"Retail sales, total (excl. motor vehicle and parts dealers)","2,66,909","2,57,128","2,90,419","2,87,480","3,05,432","2,96,742","3,02,354","3,00,365","2,84,876","2,95,631","3,04,330","3,59,909","35,51,575",
,GAFO(1),"89,918","89,827","1,00,280","96,453","1,04,799","99,188","1,01,648","1,06,632","96,947","1,02,389","1,12,652","1,44,735","12,45,468",
441,Motor vehicle and parts dealers,"77,723","78,624","95,535","92,839","96,694","93,909","97,165","97,380","90,323","89,950","83,741","92,855","10,86,738",
"4411,4412",Automobile and other motor vehicle dealers,"71,259","72,058","88,009","85,336","89,224","86,047","89,176","89,735","82,920","82,207","76,592","85,785","9,98,348",
